"Input","Output","Style","Quality"
me and my frnds going for movie tmrw u wanna come?,My friends and I are planning to go to a movie tomorrow. Would you like to join us?,formal,good
me and my frnds going for movie tmrw u wanna come?,My friends and I are heading out for a movie tomorrow—would you like to come along with us?,expressive,good
me and my frnds going for movie tmrw u wanna come?,"Me and my friends are going to a movie tomorrow, wanna come?",casual,good
although i was not fully prepared for the presentation i still managed to deliver it somehow and the feedback was surprisingly good,"Although I was not fully prepared for the presentation, I managed to deliver it successfully, and the feedback was unexpectedly positive.",formal,good
although i was not fully prepared for the presentation i still managed to deliver it somehow and the feedback was surprisingly good,"Even though I wasn’t completely prepared, I somehow pulled off the presentation, and the feedback turned out to be surprisingly encouraging.",expressive,good
although i was not fully prepared for the presentation i still managed to deliver it somehow and the feedback was surprisingly good,"I wasn’t really prepared for the presentation, but I still managed it, and the feedback was actually pretty good.",casual,good
i was very very happy and excited about the event but it got cancelled suddenly,"I was extremely excited about the event; however, it was unexpectedly cancelled.",formal,good
i was very very happy and excited about the event but it got cancelled suddenly,"I was incredibly excited and looking forward to the event, but it was suddenly called off.",expressive,good
i was very very happy and excited about the event but it got cancelled suddenly,"I was really excited about the event, but it got cancelled all of a sudden.",casual,good
i regret to inform that i wont be able attend the meeting due to some personal reasons,I regret to inform you that I will not be able to attend the meeting due to personal reasons.,formal,good
i regret to inform that i wont be able attend the meeting due to some personal reasons,I’m sorry to say that I won’t be able to make it to the meeting because of some personal matters.,expressive,good
i regret to inform that i wont be able attend the meeting due to some personal reasons,"Hey, I won’t be able to attend the meeting because of some personal stuff.",casual,good
if we had planned earlier things could be better but now its too late i guess,"If we had planned earlier, the outcome could have been better; however, it is now too late.",formal,good
if we had planned earlier things could be better but now its too late i guess,"Things might have turned out much better if we had planned ahead, but unfortunately, it’s too late now.",expressive,good
if we had planned earlier things could be better but now its too late i guess,"If we had planned earlier, things would’ve been better, but I guess it’s too late now.",casual,good
i couldnt finish the report on time because of unexpected issues,I was unable to complete the report on time due to unforeseen issues.,formal,good
i couldnt finish the report on time because of unexpected issues,I couldn’t finish the report on time because some unexpected problems came up along the way.,expressive,good
i couldnt finish the report on time because of unexpected issues,"I couldn’t get the report done on time, some random issues popped up.",casual,good
we planned a trip but had to cancel it last minute because of weather,"We had planned a trip, but it had to be cancelled at the last minute due to unfavorable weather conditions.",formal,good
we planned a trip but had to cancel it last minute because of weather,"We were really looking forward to the trip, but unfortunately, the weather forced us to cancel it at the last moment.",expressive,good
we planned a trip but had to cancel it last minute because of weather,We had a trip planned but had to cancel it last minute because of the weather.,casual,good
i tried to learn coding but it was confusing at first,"I attempted to learn coding, but initially found it quite confusing.",formal,good
i tried to learn coding but it was confusing at first,"When I first started learning coding, it felt confusing and a bit overwhelming.",expressive,good
i tried to learn coding but it was confusing at first,"I tried learning coding, but it was pretty confusing at the start.",casual,good
sorry for replying late i was busy with some work,"I apologize for the delayed response, as I was occupied with work.",formal,good
sorry for replying late i was busy with some work,I’m really sorry for the late reply—I got caught up with some work.,expressive,good
sorry for replying late i was busy with some work,"Sorry for the late reply, I was busy with some work.",casual,good
if you keep trying you will eventually succeed,Consistent effort and persistence will eventually lead to success.,formal,good
if you keep trying you will eventually succeed,"If you keep pushing forward and don’t give up, success will come your way eventually.",expressive,good
if you keep trying you will eventually succeed,"Just keep trying, you’ll succeed eventually.",casual,good
i missed the deadline because i got stuck with too many tasks,"I missed the deadline due to being overwhelmed with multiple tasks.",formal,good
i missed the deadline because i got stuck with too many tasks,"I ended up missing the deadline because I was juggling too many responsibilities at once.",expressive,good
i missed the deadline because i got stuck with too many tasks,"I missed the deadline, had too much on my plate.",casual,good
the meeting was boring and went on for too long,"The meeting was unengaging and extended beyond an appropriate duration.",formal,good
the meeting was boring and went on for too long,"The meeting felt dull and seemed to drag on endlessly.",expressive,good
the meeting was boring and went on for too long,"That meeting was boring and way too long.",casual,good
i forgot to bring my documents so i couldnt complete the process,"I was unable to complete the process as I forgot to bring the required documents.",formal,good
i forgot to bring my documents so i couldnt complete the process,"I couldn’t finish the process because I realized too late that I had forgotten my documents.",expressive,good
i forgot to bring my documents so i couldnt complete the process,"I forgot my documents so couldn’t finish the process.",casual,good
he didnt reply to my message so i assumed he was busy,"As he did not respond to my message, I assumed he was occupied.",formal,good
he didnt reply to my message so i assumed he was busy,"Since he didn’t reply, I figured he must have been busy with something important.",expressive,good
he didnt reply to my message so i assumed he was busy,"He didn’t reply so I thought he was busy.",casual,good
the app crashed suddenly and i lost all my progress,"The application crashed unexpectedly, resulting in the loss of all my progress.",formal,good
the app crashed suddenly and i lost all my progress,"The app suddenly crashed, and I ended up losing everything I had been working on.",expressive,good
the app crashed suddenly and i lost all my progress,"The app crashed and I lost all my progress.",casual,good
i didnt understand the instructions properly so i made mistakes,"I made errors due to not fully understanding the instructions.",formal,good
i didnt understand the instructions properly so i made mistakes,"Because I didn’t fully grasp the instructions, I ended up making several mistakes.",expressive,good
i didnt understand the instructions properly so i made mistakes,"Didn’t understand the instructions properly so messed up.",casual,good
we waited for hours but the service was still not available,"We waited for several hours, yet the service remained unavailable.",formal,good
we waited for hours but the service was still not available,"Even after waiting for hours, the service never became available.",expressive,good
we waited for hours but the service was still not available,"Waited for hours but still no service.",casual,good
i was tired but i still completed the work somehow,"Despite being tired, I managed to complete the work.",formal,good
i was tired but i still completed the work somehow,"Even though I was exhausted, I somehow pushed through and finished the work.",expressive,good
i was tired but i still completed the work somehow,"I was tired but still got the work done somehow.",casual,good
the internet connection was slow so the download took a long time,"The download took an extended period due to a slow internet connection.",formal,good
the internet connection was slow so the download took a long time,"Because the internet was so slow, the download ended up taking forever.",expressive,good
the internet connection was slow so the download took a long time,"Internet was slow so download took long.",casual,good
i wasnt sure about the decision but i went ahead anyway,"Although I was uncertain about the decision, I proceeded nonetheless.",formal,good
i wasnt sure about the decision but i went ahead anyway,"I wasn’t completely confident about the decision, but I chose to move forward anyway.",expressive,good
i wasnt sure about the decision but i went ahead anyway,"Wasn’t sure about it but still went ahead.",casual,good
he stood alone in the rain thinking about everything he had lost,"He stood alone in the rain, reflecting on everything he had lost.",formal,good
he stood alone in the rain thinking about everything he had lost,"Standing there in the pouring rain, he was overwhelmed by thoughts of everything he had lost.",expressive,good
he stood alone in the rain thinking about everything he had lost,He was just standing in the rain thinking about everything he lost.,casual,good
she realized at that moment that nothing would ever be the same again,She realized in that moment that nothing would ever be the same again.,formal,good
she realized at that moment that nothing would ever be the same again,"In that very moment, she understood that her life would never be the same again.",expressive,good
she realized at that moment that nothing would ever be the same again,She suddenly realized things would never be the same again.,casual,good
the city was silent as if it was hiding a secret no one was meant to know,"The city was silent, as though it was concealing a secret no one was meant to uncover.",formal,good
the city was silent as if it was hiding a secret no one was meant to know,"An eerie silence filled the city, as if it were guarding a secret meant to remain hidden.",expressive,good
the city was silent as if it was hiding a secret no one was meant to know,The city was quiet like it was hiding some secret.,casual,good
he made a promise he knew he might never be able to keep,He made a promise he knew he might not be able to fulfill.,formal,good
he made a promise he knew he might never be able to keep,"He gave his word, even though deep down he knew he might never be able to keep it.",expressive,good
he made a promise he knew he might never be able to keep,He promised something he wasn’t sure he could keep.,casual,good
she smiled even though her heart was breaking inside,"She smiled, despite the pain she was feeling inside.",formal,good
she smiled even though her heart was breaking inside,"She forced a smile, even as her heart quietly shattered within her.",expressive,good
she smiled even though her heart was breaking inside,She smiled even though she was hurting inside.,casual,good
they walked away from each other knowing it was probably the last time,"They walked away from each other, aware it might be the final time.",formal,good
they walked away from each other knowing it was probably the last time,"They parted ways, both silently realizing it could be their last goodbye.",expressive,good
they walked away from each other knowing it was probably the last time,They walked away knowing it might be the last time.,casual,good
the truth finally came out and it changed everything between them,"The truth eventually surfaced, altering everything between them.",formal,good
the truth finally came out and it changed everything between them,"When the truth finally came to light, it completely changed their relationship.",expressive,good
the truth finally came out and it changed everything between them,The truth came out and everything changed between them.,casual,good
he looked at the old photograph and remembered the life he once had,He looked at the old photograph and recalled the life he once lived.,formal,good
he looked at the old photograph and remembered the life he once had,"As he stared at the old photograph, memories of his past life came flooding back.",expressive,good
he looked at the old photograph and remembered the life he once had,He looked at the old photo and remembered his past.,casual,good
she took a deep breath before stepping into the unknown,She took a deep breath before entering the unknown.,formal,good
she took a deep breath before stepping into the unknown,"She inhaled deeply, preparing herself before stepping into an uncertain future.",expressive,good
she took a deep breath before stepping into the unknown,She took a deep breath before stepping into something unknown.,casual,good
the storm outside matched the chaos he felt within himself,The storm outside reflected the turmoil he felt within.,formal,good
the storm outside matched the chaos he felt within himself,The raging storm outside mirrored the chaos brewing inside him.,expressive,good
the storm outside matched the chaos he felt within himself,The storm outside felt like what was going on inside him.,casual,good
he waited for hours but she never showed up,"He waited for hours, but she never arrived.",formal,good
he waited for hours but she never showed up,"He waited endlessly, yet she never came.",expressive,good
he waited for hours but she never showed up,He waited for hours but she didn’t show up.,casual,good
she had always trusted him but this time things felt different,"She had always trusted him, but this time something felt different.",formal,good
she had always trusted him but this time things felt different,"She had always believed in him, yet this time, something felt unsettlingly different.",expressive,good
she had always trusted him but this time things felt different,She always trusted him but this time it felt off.,casual,good
the decision he made that night would haunt him forever,The decision he made that night would trouble him for the rest of his life.,formal,good
the decision he made that night would haunt him forever,"That night’s decision stayed with him, haunting him for the rest of his life.",expressive,good
the decision he made that night would haunt him forever,That decision would haunt him forever.,casual,good
she followed the sound hoping it would lead her somewhere safe,"She followed the sound, hoping it would guide her to safety.",formal,good
she followed the sound hoping it would lead her somewhere safe,"She chased the faint sound, clinging to the hope that it would lead her somewhere safe.",expressive,good
she followed the sound hoping it would lead her somewhere safe,She followed the sound hoping it would take her somewhere safe.,casual,good
he knew he had one last chance to fix everything,He knew he had one final opportunity to resolve everything.,formal,good
he knew he had one last chance to fix everything,He realized this was his last chance to make things right.,expressive,good
he knew he had one last chance to fix everything,He knew this was his last chance to fix things.,casual,good
the moment their eyes met everything around them faded away,"The moment their eyes met, everything else seemed to disappear.",formal,good
the moment their eyes met everything around them faded away,"When their eyes locked, the world around them faded into nothingness.",expressive,good
the moment their eyes met everything around them faded away,"When they looked at each other, everything else faded away.",casual,good
she ran as fast as she could without looking back,She ran as fast as she could without turning back.,formal,good
she ran as fast as she could without looking back,"She sprinted forward, never daring to look back even once.",expressive,good
she ran as fast as she could without looking back,She ran fast without looking back.,casual,good
he tried to hide the truth but it was written all over his face,"He attempted to conceal the truth, but it was evident on his face.",formal,good
he tried to hide the truth but it was written all over his face,"He tried to hide the truth, but his expression revealed everything.",expressive,good
he tried to hide the truth but it was written all over his face,He tried to hide it but it was obvious on his face.,casual,good
they had come too far to give up now,They had progressed too far to abandon their efforts now.,formal,good
they had come too far to give up now,They had come such a long way that giving up now was not an option.,expressive,good
they had come too far to give up now,They had come too far to quit now.,casual,good
she finally found the courage to speak what she had been hiding,She finally gathered the courage to express what she had been concealing.,formal,good
she finally found the courage to speak what she had been hiding,"At last, she found the strength to voice what she had kept hidden for so long.",expressive,good
she finally found the courage to speak what she had been hiding,She finally got the courage to say what she was hiding.,casual,good
"he knew something was wrong but he couldnt figure out what it was","He sensed that something was wrong, but he could not identify the issue.",formal,good
"he knew something was wrong but he couldnt figure out what it was","He had a strong feeling that something wasn’t right, yet he couldn’t quite understand what it was.",expressive,good
"he knew something was wrong but he couldnt figure out what it was","He knew something was off but couldn’t figure out what.",casual,good
"she kept reading the letter again and again trying to understand its meaning","She repeatedly read the letter in an attempt to understand its meaning.",formal,good
"she kept reading the letter again and again trying to understand its meaning","She read the letter over and over, desperately trying to make sense of what it meant.",expressive,good
"she kept reading the letter again and again trying to understand its meaning","She kept rereading the letter trying to understand it.",casual,good
"the room felt smaller as the tension between them kept growing","The room seemed to feel more confined as the tension between them increased.",formal,good
"the room felt smaller as the tension between them kept growing","As the tension between them intensified, the room seemed to shrink around them.",expressive,good
"the room felt smaller as the tension between them kept growing","The room felt smaller as things got more tense between them.",casual,good
"he wanted to say something but the words just wouldnt come out","He wished to speak, but he was unable to express himself.",formal,good
"he wanted to say something but the words just wouldnt come out","He wanted to say something, but the words simply refused to come out.",expressive,good
"he wanted to say something but the words just wouldnt come out","He wanted to say something but couldn’t get the words out.",casual,good
"she stared at the door hoping someone would walk in and change everything","She gazed at the door, hoping someone would enter and alter everything.",formal,good
"she stared at the door hoping someone would walk in and change everything","She kept staring at the door, hoping someone would walk in and change everything.",expressive,good
"she stared at the door hoping someone would walk in and change everything","She stared at the door hoping someone would come in and fix things.",casual,good
"they both knew the conversation they were about to have would not be easy","They were both aware that the upcoming conversation would be difficult.",formal,good
"they both knew the conversation they were about to have would not be easy","Both of them knew that the conversation ahead would be challenging and uncomfortable.",expressive,good
"they both knew the conversation they were about to have would not be easy","They both knew this talk wasn’t going to be easy.",casual,good
"he smiled like nothing happened but inside he was completely broken","He maintained a smile as if nothing had occurred, despite feeling deeply broken inside.",formal,good
"he smiled like nothing happened but inside he was completely broken","He smiled as though everything was fine, even though he was completely shattered inside.",expressive,good
"he smiled like nothing happened but inside he was completely broken","He smiled like nothing happened but was broken inside.",casual,good
"she had been waiting for this moment her whole life but now she was scared","She had anticipated this moment her entire life, yet she now felt afraid.",formal,good
"she had been waiting for this moment her whole life but now she was scared","She had waited her whole life for this moment, but now that it was here, she was scared.",expressive,good
"she had been waiting for this moment her whole life but now she was scared","She waited her whole life for this but now she’s scared.",casual,good
"the silence between them said more than words ever could","The silence between them conveyed more than words ever could.",formal,good
"the silence between them said more than words ever could","The silence between them spoke louder than anything they could have said.",expressive,good
"the silence between them said more than words ever could","Their silence said more than words.",casual,good
"he realized too late that he had taken everything for granted","He came to the realization too late that he had taken everything for granted.",formal,good
"he realized too late that he had taken everything for granted","He realized, far too late, that he had taken everything for granted.",expressive,good
"he realized too late that he had taken everything for granted","He realized too late he took everything for granted.",casual,good
"she looked around and realized she was completely alone","She looked around and recognized that she was entirely alone.",formal,good
"she looked around and realized she was completely alone","She glanced around and suddenly realized she was completely alone.",expressive,good
"she looked around and realized she was completely alone","She looked around and saw she was alone.",casual,good
"he tried to fix things but every step made it worse","He attempted to resolve the situation, but each effort worsened it.",formal,good
"he tried to fix things but every step made it worse","He tried to fix things, but with every step, it only got worse.",expressive,good
"he tried to fix things but every step made it worse","He tried fixing it but made it worse.",casual,good
"she couldn’t believe how quickly everything had fallen apart","She was unable to believe how rapidly everything had collapsed.",formal,good
"she couldn’t believe how quickly everything had fallen apart","She couldn’t believe how quickly everything had fallen apart.",expressive,good
"she couldn’t believe how quickly everything had fallen apart","She couldn’t believe how fast everything fell apart.",casual,good
"he had a choice to make and either way he would lose something important","He was faced with a decision in which he would lose something valuable regardless of his choice.",formal,good
"he had a choice to make and either way he would lose something important","He had to make a choice, knowing that either way, he would lose something important.",expressive,good
"he had a choice to make and either way he would lose something important","He had to choose but would lose something either way.",casual,good
"she pretended to be okay so no one would worry about her","She pretended to be fine in order to prevent others from worrying about her.",formal,good
"she pretended to be okay so no one would worry about her","She acted like everything was okay so that no one would worry about her.",expressive,good
"she pretended to be okay so no one would worry about her","She acted okay so no one would worry.",casual,good
"he walked into the room not knowing it would change his life forever","He entered the room unaware that it would permanently alter his life.",formal,good
"he walked into the room not knowing it would change his life forever","He walked into the room, not knowing it would change his life forever.",expressive,good
"he walked into the room not knowing it would change his life forever","He walked in not knowing it would change everything.",casual,good
"she kept moving forward even though she had no idea where she was going","She continued to move forward despite having no clear direction.",formal,good
"she kept moving forward even though she had no idea where she was going","She kept going, even though she had no idea where she was headed.",expressive,good
"she kept moving forward even though she had no idea where she was going","She kept moving without knowing where she was going.",casual,good
"he felt like giving up but something inside him told him to keep going","He felt inclined to give up, but an inner voice urged him to continue.",formal,good
"he felt like giving up but something inside him told him to keep going","He felt like giving up, but something deep inside pushed him to keep going.",expressive,good
"he felt like giving up but something inside him told him to keep going","He felt like quitting but something told him to keep going.",casual,good
"she remembered all the promises that were never kept","She recalled all the promises that had not been fulfilled.",formal,good
"she remembered all the promises that were never kept","She thought about all the promises that were made but never kept.",expressive,good
she remembered all the promises that were never kept,She remembered all the promises she had not kept.,casual,good
"Success doesn’t come overnight, it is built through consistent effort and patience","Success is not achieved overnight; it is developed through consistent effort and patience.",formal,good
"Success doesn’t come overnight, it is built through consistent effort and patience","Success takes time to blossom, growing through patience and unwavering effort.",expressive,good
"Success doesn’t come overnight, it is built through consistent effort and patience","Success doesn’t just happen overnight, it comes from steady effort and patience.",casual,good
"Your mindset shapes your reality more than your circumstances ever will","Your mindset influences your reality more significantly than your circumstances ever could.",formal,good
"Your mindset shapes your reality more than your circumstances ever will","The way you think has the power to shape your reality beyond any situation you face.",expressive,good
"Your mindset shapes your reality more than your circumstances ever will","Your mindset matters more than your situation in shaping your reality.",casual,good
"Failures are not the end, they are lessons guiding you toward success","Failures are not final outcomes; they serve as lessons that guide you toward success.",formal,good
"Failures are not the end, they are lessons guiding you toward success","Every failure carries a lesson, quietly leading you closer to success.",expressive,good
"Failures are not the end, they are lessons guiding you toward success","Failure isn’t the end, it just teaches you how to get to success.",casual,good
"Discipline is choosing what you want most over what you want now","Discipline involves prioritizing long-term goals over immediate desires.",formal,good
"Discipline is choosing what you want most over what you want now","Discipline is the quiet strength of choosing your bigger dreams over temporary temptations.",expressive,good
"Discipline is choosing what you want most over what you want now","Discipline means picking what matters most instead of what feels good right now.",casual,good
"Growth begins when you step outside your comfort zone","Growth begins when you step beyond the boundaries of your comfort zone.",formal,good
"Growth begins when you step outside your comfort zone","Real growth starts the moment you dare to leave what feels safe and familiar.",expressive,good
"Growth begins when you step outside your comfort zone","You only grow when you get out of your comfort zone.",casual,good
"You become stronger every time you overcome something you thought you couldn’t","You grow stronger each time you overcome a challenge you once believed was impossible.",formal,good
"You become stronger every time you overcome something you thought you couldn’t","Every time you conquer what once scared you, you discover a stronger version of yourself.",expressive,good
"You become stronger every time you overcome something you thought you couldn’t","You get stronger every time you beat something you thought you couldn’t handle.",casual,good
"Your past does not define you, your actions today do","Your past does not define you; your present actions are what truly shape who you are.",formal,good
"Your past does not define you, your actions today do","Who you were yesterday does not define you, but what you choose to do today does.",expressive,good
"Your past does not define you, your actions today do","Your past doesn’t decide who you are, what you do today does.",casual,good
"Small consistent actions create big results over time","Small, consistent actions lead to significant results over time.",formal,good
"Small consistent actions create big results over time","Tiny efforts, repeated daily, quietly build into something extraordinary over time.",expressive,good
"Small consistent actions create big results over time","Doing small things regularly leads to big results over time.",casual,good
"Doubt kills more dreams than failure ever will","Doubt destroys more dreams than failure ever could.",formal,good
"Doubt kills more dreams than failure ever will","More dreams fade away because of doubt than because of failure itself.",expressive,good
"Doubt kills more dreams than failure ever will","Doubt ruins more dreams than failure does.",casual,good
"Happiness is found when you stop comparing your journey to others","Happiness is achieved when you stop comparing your journey with others.",formal,good
"Happiness is found when you stop comparing your journey to others","True happiness appears when you embrace your own path instead of comparing it to others.",expressive,good
"Happiness is found when you stop comparing your journey to others","You feel happier when you stop comparing your life to others.",casual,good
"Rahul and Aman planned a sudden trip to Manali to escape the city chaos","Rahul and Aman organized an unplanned trip to Manali to get away from the chaos of city life.",formal,good
"Rahul and Aman planned a sudden trip to Manali to escape the city chaos","Rahul and Aman spontaneously set off for Manali, leaving behind the noise and chaos of the city.",expressive,good
"Rahul and Aman planned a sudden trip to Manali to escape the city chaos","Rahul and Aman took a quick trip to Manali to get away from city stress.",casual,good
"Priya visited Jaipur last winter and fell in love with its rich culture and architecture","Priya traveled to Jaipur last winter and developed a deep appreciation for its cultural heritage and architectural beauty.",formal,good
"Priya visited Jaipur last winter and fell in love with its rich culture and architecture","Last winter, Priya explored Jaipur and was captivated by its vibrant culture and stunning architecture.",expressive,good
"Priya visited Jaipur last winter and fell in love with its rich culture and architecture","Priya went to Jaipur last winter and really loved its culture and buildings.",casual,good
"Arjun missed his train to Mumbai but decided to explore Delhi for another day","Arjun missed his train to Mumbai and chose to spend an additional day exploring Delhi.",formal,good
"Arjun missed his train to Mumbai but decided to explore Delhi for another day","After missing his train to Mumbai, Arjun decided to make the most of it by discovering more of Delhi.",expressive,good
"Arjun missed his train to Mumbai but decided to explore Delhi for another day","Arjun missed his Mumbai train, so he stayed another day in Delhi.",casual,good
"Sneha and her friends went on a road trip to Rishikesh and enjoyed river rafting","Sneha and her friends embarked on a road trip to Rishikesh and participated in river rafting activities.",formal,good
"Sneha and her friends went on a road trip to Rishikesh and enjoyed river rafting","Sneha and her friends hit the road to Rishikesh and had an exciting time river rafting.",expressive,good
"Sneha and her friends went on a road trip to Rishikesh and enjoyed river rafting","Sneha and her friends drove to Rishikesh and had fun doing river rafting.",casual,good
"Karan traveled to Goa alone to take a break and clear his mind","Karan traveled to Goa independently to take a break and rejuvenate his mind.",formal,good
"Karan traveled to Goa alone to take a break and clear his mind","Karan set off alone to Goa, hoping to relax and clear his thoughts.",expressive,good
"Karan traveled to Goa alone to take a break and clear his mind","Karan went to Goa alone to relax and clear his head.",casual,good
"Megha booked a last-minute flight to Bangalore for an important meeting","Megha reserved a last-minute flight to Bangalore to attend an important meeting.",formal,good
"Megha booked a last-minute flight to Bangalore for an important meeting","With little time to spare, Megha quickly booked a flight to Bangalore for a crucial meeting.",expressive,good
"Megha booked a last-minute flight to Bangalore for an important meeting","Megha booked a last-minute flight to Bangalore for a meeting.",casual,good
"Rohit and Neha explored the streets of Paris and tried different local cuisines","Rohit and Neha explored the streets of Paris and sampled a variety of local cuisines.",formal,good
"Rohit and Neha explored the streets of Paris and tried different local cuisines","Rohit and Neha wandered through Paris, enjoying its streets and tasting delicious local dishes.",expressive,good
"Rohit and Neha explored the streets of Paris and tried different local cuisines","Rohit and Neha walked around Paris and tried local food.",casual,good
"Ankit visited Shimla during snowfall and captured beautiful photographs","Ankit visited Shimla during snowfall and captured visually appealing photographs.",formal,good
"Ankit visited Shimla during snowfall and captured beautiful photographs","While snow fell around him in Shimla, Ankit captured some truly beautiful moments on camera.",expressive,good
"Ankit visited Shimla during snowfall and captured beautiful photographs","Ankit went to Shimla in the snow and took nice photos.",casual,good
"Pooja planned a solo backpacking trip across Himachal Pradesh","Pooja organized a solo backpacking journey across Himachal Pradesh.",formal,good
"Pooja planned a solo backpacking trip across Himachal Pradesh","Pooja set out on an adventurous solo backpacking trip through Himachal Pradesh.",expressive,good
"Pooja planned a solo backpacking trip across Himachal Pradesh","Pooja planned a solo backpacking trip in Himachal.",casual,good
"Vikram and his family went to Agra to see the Taj Mahal for the first time","Vikram and his family traveled to Agra to visit the Taj Mahal for the first time.",formal,good
"Vikram and his family went to Agra to see the Taj Mahal for the first time","Vikram and his family experienced the beauty of the Taj Mahal in Agra for the very first time.",expressive,good
"Vikram and his family went to Agra to see the Taj Mahal for the first time","Vikram and his family went to Agra to see the Taj Mahal for the first time.",casual,good
"Riya asked Aarav if they should leave early for the airport to avoid traffic","Riya inquired whether they should depart early for the airport to avoid traffic congestion.",formal,good
"Riya asked Aarav if they should leave early for the airport to avoid traffic","Riya suggested to Aarav that they leave early for the airport so they wouldn’t get stuck in traffic.",expressive,good
"Riya asked Aarav if they should leave early for the airport to avoid traffic","Riya asked Aarav if they should go early to avoid traffic.",casual,good
"Kabir told Ananya that the hotel they booked had an amazing mountain view","Kabir informed Ananya that the hotel they reserved offered an excellent view of the mountains.",formal,good
"Kabir told Ananya that the hotel they booked had an amazing mountain view","Kabir excitedly told Ananya that their hotel had a stunning view of the mountains.",expressive,good
"Kabir told Ananya that the hotel they booked had an amazing mountain view","Kabir told Ananya their hotel had a great mountain view.",casual,good
"Neha asked Rohit if he had packed everything for the Goa trip","Neha asked Rohit whether he had completed packing for their trip to Goa.",formal,good
"Neha asked Rohit if he had packed everything for the Goa trip","Neha checked with Rohit to make sure he had packed everything for their Goa trip.",expressive,good
"Neha asked Rohit if he had packed everything for the Goa trip","Neha asked Rohit if he packed everything for Goa.",casual,good
"Aman told Rahul that they might miss the train if they didn’t leave immediately","Aman informed Rahul that they could miss the train if they did not leave immediately.",formal,good
"Aman told Rahul that they might miss the train if they didn’t leave immediately","Aman warned Rahul that they would miss the train unless they left right away.",expressive,good
"Aman told Rahul that they might miss the train if they didn’t leave immediately","Aman told Rahul they might miss the train if they don’t leave now.",casual,good
"Sneha asked Pooja and Meera if they wanted to try the local street food","Sneha asked Pooja and Meera whether they would like to try the local street food.",formal,good
"Sneha asked Pooja and Meera if they wanted to try the local street food","Sneha excitedly asked Pooja and Meera if they were up for trying the local street food.",expressive,good
"Sneha asked Pooja and Meera if they wanted to try the local street food","Sneha asked Pooja and Meera if they wanted to try street food.",casual,good
"Arjun told Karan and Vivek that the trek was more difficult than they had expected","Arjun informed Karan and Vivek that the trek was more challenging than they had anticipated.",formal,good
"Arjun told Karan and Vivek that the trek was more difficult than they had expected","Arjun shared with Karan and Vivek that the trek turned out to be tougher than they had imagined.",expressive,good
"Arjun told Karan and Vivek that the trek was more difficult than they had expected","Arjun told Karan and Vivek the trek was harder than they thought.",casual,good
"Megha asked Rohan if he had checked the weather forecast before the trip","Megha asked Rohan whether he had reviewed the weather forecast prior to the trip.",formal,good
"Megha asked Rohan if he had checked the weather forecast before the trip","Megha reminded Rohan to check if he had looked at the weather forecast before their trip.",expressive,good
"Megha asked Rohan if he had checked the weather forecast before the trip","Megha asked Rohan if he checked the weather before the trip.",casual,good
"Vikram told his friends that they should visit the museum before it closed","Vikram suggested to his friends that they should visit the museum before it closed.",formal,good
"Vikram told his friends that they should visit the museum before it closed","Vikram encouraged his friends to visit the museum before it shut for the day.",expressive,good
"Vikram told his friends that they should visit the museum before it closed","Vikram told his friends to go to the museum before it closed.",casual,good
"Ankit asked Priya and Rahul if they had booked the tickets for the return journey","Ankit asked Priya and Rahul whether they had booked the tickets for their return journey.",formal,good
